Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/2/90,#VALUE!,7.914670314,8.218113158,8.427402278,8.667421533,8.337940945,8.248576753,8.451403579,8.528782589,#VALUE!,8.754446603
1/3/90,#VALUE!,8.873585676,8.646128596,8.632423063,8.389780799,8.184636478,8.507870865,8.955841479,8.398018541,#VALUE!,8.803825068
1/4/90,#VALUE!,8.761566906,8.606877204,8.403466068,8.712019175,8.284677688,8.426521577,8.728974442,8.936498051,#VALUE!,8.151244835
1/5/90,#VALUE!,8.663557203,8.241718715,8.75466956,8.671604754,8.406801965,8.648907957,8.324399328,8.506622593,#VALUE!,8.604226512
1/8/90,#VALUE!,8.154697782,8.645730848,8.586767036,8.533463571,8.148701824,8.786306724,9.02575403,8.542537525,#VALUE!,8.327666417
1/9/90,#VALUE!,8.2678605,8.369624189,8.510726175,7.926310619,8.831181604,8.778505954,8.849797397,8.740002526,#VALUE!,8.563155712
1/10/90,#VALUE!,7.770679357,8.32543589,7.891041002,8.536277585,8.277655749,8.631246518,8.565865319,8.678647302,#VALUE!,8.424103415
1/11/90,#VALUE!,7.926812233,8.080014494,8.429359407,8.688062628,8.787211969,8.674875666,8.077174297,9.017255464,#VALUE!,8.669044285
1/12/90,#VALUE!,8.600148598,7.94595207,8.501766664,8.86696846,8.333136781,8.23681468,8.272085645,8.827341524,#VALUE!,8.709121707
1/16/90,#VALUE!,8.423890828,8.899645438,8.124705984,8.212735317,8.813850106,8.968856681,8.261514738,9.010970589,#VALUE!,8.972868936
1/17/90,#VALUE!,8.557525644,8.829432907,8.663640073,8.866202528,8.530312586,8.780912026,8.459367888,9.150783187,#VALUE!,8.286868319
1/18/90,#VALUE!,8.702557996,8.938790231,8.265484419,8.739289739,9.270316503,8.709716543,9.128303679,9.049226204,#VALUE!,8.838933949
1/19/90,#VALUE!,8.845098778,8.413906861,8.18978646,8.359016774,8.984589865,9.195350638,8.384403298,8.552676955,#VALUE!,8.693815724
1/22/90,#VALUE!,8.326162562,8.748336473,8.130560432,8.95693601,8.370712969,8.810801047,8.251386174,9.010332314,#VALUE!,9.104779573
1/23/90,#VALUE!,8.825754195,8.620798059,8.111088674,8.602098293,8.314054879,9.162354788,8.546841186,8.357347337,#VALUE!,9.137971019
1/24/90,#VALUE!,8.649756011,8.163266168,8.653817714,8.785797096,8.867270353,8.541496577,8.521017184,8.483485411,#VALUE!,8.701890036
1/25/90,#VALUE!,8.854391668,8.210327751,8.558579809,9.041909249,8.597233199,8.498360917,8.950765454,9.309379405,#VALUE!,9.45916131
1/26/90,#VALUE!,8.718611661,8.817590722,8.137323937,8.77226924,8.675023456,8.752900751,8.929107836,8.764190762,#VALUE!,8.767211547
1/29/90,#VALUE!,8.087902998,8.223390322,8.849598071,8.831678302,9.076583659,9.077981879,8.928950701,9.111553147,#VALUE!,8.760862801
1/30/90,#VALUE!,8.875843825,8.303310133,8.468502051,8.352315797,9.03675852,8.460505989,8.682981262,8.657008823,#VALUE!,8.786605787
1/31/90,#VALUE!,8.957068122,8.454421589,8.297205891,8.362218628,9.139312745,9.308405068,9.107204268,8.838157218,#VALUE!,9.226941003
2/1/90,#VALUE!,8.321424562,8.695223541,8.266893025,9.119083431,9.318436791,9.284225467,9.333365262,9.194226182,#VALUE!,9.009565472
2/2/90,#VALUE!,8.589501889,9.067202405,9.07914451,8.90769474,9.367393101,9.350070962,9.158232732,8.812795708,#VALUE!,8.672822807
2/5/90,#VALUE!,8.350860012,9.110847308,8.305968467,8.664659638,8.778112396,8.541730357,9.337448775,9.289388925,#VALUE!,8.962575464
2/6/90,#VALUE!,8.926507696,8.546548148,8.226645792,8.468027085,8.971047444,8.860757057,9.474852935,9.148435787,#VALUE!,8.868074783
2/7/90,#VALUE!,8.362716735,8.442217185,8.72850553,9.317871136,9.042161037,8.767280554,8.553757124,8.960492979,#VALUE!,9.210546702
2/8/90,#VALUE!,8.623905754,8.76688244,8.770136547,8.774674862,9.283987348,8.716456333,9.4245723,9.115154911,#VALUE!,9.292137723
2/9/90,#VALUE!,8.272060779,8.35945598,8.94838287,9.112325797,8.31352007,8.445639756,8.779942592,8.516022078,#VALUE!,8.427272464
2/12/90,#VALUE!,8.336900629,8.727315194,8.4737276,9.143493759,9.195632532,8.53515468,8.554710505,9.311189381,#VALUE!,9.044874149
2/13/90,#VALUE!,8.600524623,8.85814832,8.101239983,8.88256822,8.762659703,9.011049346,8.399592076,8.523367888,#VALUE!,8.484703685
2/14/90,#VALUE!,8.148226689,8.396767638,8.265795173,9.250107543,9.238407452,9.25447228,8.738919402,8.636557842,#VALUE!,8.708620571
2/15/90,#VALUE!,8.954032866,8.94555534,8.348161212,9.067661809,8.737265074,8.838247566,9.052795723,9.269931528,#VALUE!,9.16409477
2/16/90,#VALUE!,7.961819888,8.112757601,8.368684114,8.823395242,9.093789518,8.515072611,9.209954959,8.598066382,#VALUE!,8.819463889
2/20/90,#VALUE!,8.490537108,8.409630363,8.885379028,8.55246788,8.593024493,9.121154988,9.38473905,8.888116205,#VALUE!,8.702748982
2/21/90,#VALUE!,8.910121811,8.795170718,9.070240926,8.634362405,8.558500564,8.643683461,8.632116343,9.118649021,#VALUE!,8.795802633
2/22/90,#VALUE!,8.064605422,8.19248243,8.473620423,8.848052333,8.680687909,8.972632102,9.010539805,8.667008718,#VALUE!,9.235898486
2/23/90,#VALUE!,8.678549744,8.324411093,8.349821574,8.484327489,9.36721629,8.853929239,9.347752147,8.896787556,#VALUE!,9.539684858
2/26/90,#VALUE!,8.701092052,8.59585136,9.002143416,8.776168122,8.85784887,8.711637371,9.473603983,8.864781206,#VALUE!,8.654163369
2/27/90,#VALUE!,8.596329545,8.507256313,8.252268019,9.198087965,8.963026001,8.926784729,8.653797621,9.193108786,#VALUE!,9.274007831
2/28/90,#VALUE!,8.482901582,8.769554013,8.337896091,9.246708471,9.133534058,9.320958167,8.728770287,9.026402156,#VALUE!,9.309416709
3/1/90,#VALUE!,8.856933524,8.245664484,8.836780034,8.586377255,9.362390997,8.729782063,9.126722895,9.530106819,#VALUE!,9.362015458
3/2/90,#VALUE!,8.618646837,8.533059253,8.817126559,9.422656226,9.300338123,9.080224205,9.355369921,9.228950994,#VALUE!,9.023392874
3/5/90,#VALUE!,9.04245564,8.46989217,9.138023613,8.911069434,8.955497663,8.744625891,9.607932795,8.985751175,#VALUE!,9.561900544
3/6/90,#VALUE!,9.04870829,8.75718464,8.669526648,8.955223877,9.416698979,8.935337382,9.435676488,9.217709788,#VALUE!,8.822147871
3/7/90,#VALUE!,8.805694388,8.702575541,9.047227314,8.867176305,8.563109172,8.643334341,8.724670062,8.97213376,#VALUE!,8.797029893
3/8/90,#VALUE!,8.319746444,8.792707577,8.44859182,9.4506365,9.358644735,8.613796201,9.248454053,8.586934587,#VALUE!,8.72346525
3/9/90,#VALUE!,8.989817233,8.36483034,8.493178629,9.728461032,8.732092434,8.890591291,9.120600516,8.712059324,#VALUE!,8.684531548
3/12/90,#VALUE!,8.355947563,9.051070322,8.586739604,8.877401961,9.293255253,9.082576567,9.175629941,9.325499299,#VALUE!,9.363430353
3/13/90,#VALUE!,8.422955561,9.058779799,8.935277135,9.507275652,9.563178531,8.90924686,9.118555016,8.847343553,#VALUE!,9.715747091
3/14/90,#VALUE!,8.71502775,9.28881572,9.382750911,9.609675383,8.818708365,8.936973357,8.891215069,8.779104834,#VALUE!,9.306021313
3/15/90,#VALUE!,8.786057241,8.444693298,8.567064164,8.867439172,8.856325125,9.521354204,9.080588997,9.399701054,#VALUE!,8.923120206
3/16/90,#VALUE!,8.580507616,8.326920635,8.510761402,9.532247558,9.473917872,9.338718169,9.139436708,9.120684678,#VALUE!,8.730078963
3/19/90,#VALUE!,9.118254557,9.047737804,8.517468456,8.724000127,9.267124259,8.87155163,9.175300855,9.34726372,#VALUE!,8.867014687
3/20/90,#VALUE!,8.53076481,9.071631569,8.605331154,8.817001597,9.012633252,9.140663609,9.392014252,9.287429944,#VALUE!,9.347456359
3/21/90,#VALUE!,8.373266501,9.22935497,9.373661931,8.770707523,8.976453411,8.696399833,9.17225533,8.871126635,#VALUE!,8.734752009
3/22/90,#VALUE!,8.882178069,8.957611006,8.476541484,9.327803244,9.29000968,9.276608447,8.993043084,8.757289864,#VALUE!,8.993292002
3/23/90,#VALUE!,8.43485495,8.96092157,8.436296521,9.018326418,9.293869984,9.112158813,9.321728256,8.979497986,#VALUE!,8.911416059
3/26/90,#VALUE!,8.340813384,8.397480194,9.011179269,9.409352578,8.718009958,8.580736726,9.186780842,8.904194445,#VALUE!,8.674213429
3/27/90,#VALUE!,9.151293852,9.210501873,8.38506004,9.232810263,8.934681482,8.821788588,8.792407128,8.947333222,#VALUE!,9.220551829
3/28/90,#VALUE!,8.667235414,8.757841854,8.662709707,9.565592422,8.604433753,8.818492039,9.494315108,9.07849229,#VALUE!,9.343449206
3/29/90,#VALUE!,9.029115871,9.098613001,8.572448007,9.288956312,8.739529294,9.580094,9.028141242,9.553050277,#VALUE!,8.929208376
3/30/90,#VALUE!,8.313636191,9.237504835,9.023347557,9.012517904,8.984236311,9.394223777,9.284181324,9.57711954,#VALUE!,9.100563102
4/2/90,#VALUE!,8.978328045,8.828761833,8.784247212,9.074490188,9.113626711,8.70316552,8.988524145,8.709633484,#VALUE!,9.167031503
4/3/90,#VALUE!,9.019722163,8.769955025,8.907319958,9.103883991,9.346956268,9.58714665,9.238080333,8.993657198,#VALUE!,9.457475393
4/4/90,#VALUE!,8.87323096,8.80438083,8.344742167,9.257151695,9.24397738,9.487353827,9.603910686,9.337140578,#VALUE!,8.865616943
4/5/90,#VALUE!,8.51791196,8.931746958,9.094979099,8.96173055,9.016759893,8.797238968,9.114275137,8.598468022,#VALUE!,9.413028099
4/6/90,#VALUE!,8.896204587,8.443540573,8.998916912,9.264546734,8.936392664,9.459331874,8.686542511,9.244265973,#VALUE!,8.811109354
4/9/90,#VALUE!,8.528081225,8.550327009,8.656078929,9.259494109,9.357417004,9.325467202,9.386103774,8.632994453,#VALUE!,8.666625798
4/10/90,#VALUE!,8.302986763,8.27538144,9.19217537,9.025802641,9.516756539,9.218964089,9.481890357,8.89420114,#VALUE!,9.103960521
4/11/90,#VALUE!,8.891576083,8.414792301,8.821167145,9.22105162,9.021093845,8.743987132,9.563171682,9.173038539,#VALUE!,8.988981516
4/12/90,#VALUE!,8.50173997,9.005246279,8.673625721,8.812333167,9.25472521,8.685749684,9.03581859,9.020038586,#VALUE!,9.59743768
4/16/90,#VALUE!,8.433938569,9.099043518,8.667077619,9.137270953,9.574849226,9.565251846,8.841243416,9.271530823,#VALUE!,8.714914689
4/17/90,#VALUE!,9.022147477,8.70336072,9.189335939,8.825439323,9.460585769,8.983810058,9.573304488,9.204225638,#VALUE!,9.082095806
4/18/90,#VALUE!,8.590871976,9.271588737,8.637780825,9.731239826,9.121093185,9.773449386,9.725288821,9.326258865,#VALUE!,9.760044608
4/19/90,#VALUE!,8.079815257,8.498100735,8.649944111,9.645865465,9.783667463,9.05851733,9.210658002,9.294839764,#VALUE!,9.292651357
4/20/90,#VALUE!,7.960231116,8.271026329,8.472995828,9.354873014,9.785367029,9.609226311,9.557290713,9.4063689,#VALUE!,9.517029619
4/23/90,#VALUE!,8.205853091,9.293551012,8.851508036,9.331920788,8.910641601,8.954549215,9.751149926,9.637918275,#VALUE!,9.497096392
4/24/90,#VALUE!,8.957759863,9.058620294,9.532619699,9.76419185,9.975995742,9.741603172,9.303851182,9.036084865,#VALUE!,9.421792147
4/25/90,#VALUE!,8.086669948,8.936722546,9.312314267,9.757181666,9.49189458,9.548963835,9.853185342,9.499376342,#VALUE!,9.319415645
4/26/90,#VALUE!,9.042921717,8.482795638,8.723903792,9.626393343,9.881194134,10.06185448,9.707357687,9.667726793,#VALUE!,9.752509741
4/27/90,#VALUE!,8.936188124,8.436318849,9.196684858,9.504749568,9.678594562,9.753385352,9.575186365,9.686647792,#VALUE!,9.38148342
4/30/90,#VALUE!,9.06222149,9.300352464,9.342410286,9.513551629,9.625834038,9.820990211,9.630315141,9.716263283,#VALUE!,9.781352726
5/1/90,#VALUE!,8.533890311,9.059481182,8.715474769,9.859188204,10.07705242,9.665269809,9.774671138,9.08272825,#VALUE!,9.71537898
5/2/90,#VALUE!,8.608050738,8.919169573,8.85327376,9.407892563,9.220509241,9.56185691,9.781274247,9.605221716,#VALUE!,9.959646378
5/3/90,#VALUE!,8.435593253,8.607699782,8.890177906,9.642550975,10.02247791,9.775766773,9.364602943,9.614017337,#VALUE!,9.491385687
5/4/90,#VALUE!,8.120015924,9.086627819,9.38087933,9.295673932,8.991360428,9.118523822,9.220307324,8.961084563,#VALUE!,8.868749566
5/7/90,#VALUE!,8.328320093,8.757533852,9.052821122,9.286332029,8.904701844,9.282890757,8.897374108,8.887661067,#VALUE!,8.937913628
